[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/PunchingResourceGroupSelection.vue → 200 (85ms, 130687B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/MountingResourceGroupSelection.vue → 200 (86ms, 652796B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/SilkScreenResourceGroupSelection.vue → 200 (86ms, 81055B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/WorkCenterResourceGroupManagement.vue → 200 (87ms, 185107B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/ResourceGroupDetail.vue → 200 (88ms, 90371B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/message/MessageCenter.vue → 200 (92ms, 181198B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/ResourceGroupSelector.vue → 200 (97ms, 280497B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/agent/AgentProcess.vue → 200 (96ms, 41483B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/agent/AgentChat.vue → 200 (94ms, 4860B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/SmartVersion.vue → 200 (96ms, 35042B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/material/NoticeDictionaryManagement.vue → 200 (98ms, 71247B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/material/SeriesPriorityRuleManagement.vue → 200 (98ms, 10523B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/material/MatrixExportImportManagement.vue → 200 (99ms, 73657B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/guide/HotStampingMaterialGuide.vue → 200 (99ms, 33710B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/admin/import/ProductImportManagement.vue → 200 (100ms, 57696B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/UvOilMatteMatching.vue → 200 (100ms, 74991B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/WaterVarnishMatteMatching.vue → 200 (100ms, 43787B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeGlowInkMatching.vue → 200 (101ms, 42885B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeWhiteUvMatching.vue → 200 (101ms, 53885B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeGlitteringStarMatching.vue → 200 (102ms, 54074B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeScreenUvMatching.vue → 200 (102ms, 53926B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeLedUvSprayMatching.vue → 200 (102ms, 53988B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeWaterBaseTransparentMatching.vue → 200 (102ms, 54250B)
